year,driver,team,nationality,titles_total
1950,Giuseppe Farina,Alfa Romeo,Italy,1
1951,Juan Manuel Fangio,Alfa Romeo,Argentina,5
1952,Alberto Ascari,Ferrari,Italy,2
1953,Alberto Ascari,Ferrari,Italy,2
1954,Juan Manuel Fangio,Maserati/Mercedes,Argentina,5
1955,Juan Manuel Fangio,Mercedes,Argentina,5
1956,Juan Manuel Fangio,Ferrari,Argentina,5
1957,Juan Manuel Fangio,Maserati,Argentina,5
1958,Mike Hawthorn,Ferrari,United Kingdom,1
1959,Jack Brabham,Cooper-Climax,Australia,3
1960,Jack Brabham,Cooper-Climax,Australia,3
1961,Phil Hill,Ferrari,United States,1
1962,Graham Hill,BRM,United Kingdom,2
1963,Jim Clark,Lotus-Climax,United Kingdom,2
1964,John Surtees,Ferrari,United Kingdom,1
1965,Jim Clark,Lotus-Climax,United Kingdom,2
1966,Jack Brabham,Brabham-Repco,Australia,3
1967,Denny Hulme,Brabham-Repco,New Zealand,1
1968,Graham Hill,Lotus-Ford,United Kingdom,2
1969,Jackie Stewart,Matra-Ford,United Kingdom,3
1970,Jochen Rindt,Lotus-Ford,Austria,1
1971,Jackie Stewart,Tyrrell-Ford,United Kingdom,3
1972,Emerson Fittipaldi,Lotus-Ford,Brazil,2
1973,Jackie Stewart,Tyrrell-Ford,United Kingdom,3
1974,Emerson Fittipaldi,McLaren-Ford,Brazil,2
1975,Niki Lauda,Ferrari,Austria,3
1976,James Hunt,McLaren-Ford,United Kingdom,1
1977,Niki Lauda,Ferrari,Austria,3
1978,Mario Andretti,Lotus-Ford,United States,1
1979,Jody Scheckter,Ferrari,South Africa,1
1980,Alan Jones,Williams-Ford,Australia,1
1981,Nelson Piquet,Brabham-Ford,Brazil,3
1982,Keke Rosberg,Williams-Ford,Finland,1
1983,Nelson Piquet,Brabham-BMW,Brazil,3
1984,Niki Lauda,McLaren-TAG,Austria,3
1985,Alain Prost,McLaren-TAG,France,4
1986,Alain Prost,McLaren-TAG,France,4
1987,Nelson Piquet,Williams-Honda,Brazil,3
1988,Ayrton Senna,McLaren-Honda,Brazil,3
1989,Alain Prost,McLaren-Honda,France,4
1990,Ayrton Senna,McLaren-Honda,Brazil,3
1991,Ayrton Senna,McLaren-Honda,Brazil,3
1992,Nigel Mansell,Williams-Renault,United Kingdom,1
1993,Alain Prost,Williams-Renault,France,4
1994,Michael Schumacher,Benetton-Ford,Germany,7
1995,Michael Schumacher,Benetton-Renault,Germany,7
1996,Damon Hill,Williams-Renault,United Kingdom,1
1997,Jacques Villeneuve,Williams-Renault,Canada,1
1998,Mika Hakkinen,McLaren-Mercedes,Finland,2
1999,Mika Hakkinen,McLaren-Mercedes,Finland,2
2000,Michael Schumacher,Ferrari,Germany,7
2001,Michael Schumacher,Ferrari,Germany,7
2002,Michael Schumacher,Ferrari,Germany,7
2003,Michael Schumacher,Ferrari,Germany,7
2004,Michael Schumacher,Ferrari,Germany,7
2005,Fernando Alonso,Renault,Spain,2
2006,Fernando Alonso,Renault,Spain,2
2007,Kimi Raikkonen,Ferrari,Finland,1
2008,Lewis Hamilton,McLaren-Mercedes,United Kingdom,7
2009,Jenson Button,Brawn-Mercedes,United Kingdom,1
2010,Sebastian Vettel,Red Bull-Renault,Germany,4
2011,Sebastian Vettel,Red Bull-Renault,Germany,4
2012,Sebastian Vettel,Red Bull-Renault,Germany,4
2013,Sebastian Vettel,Red Bull-Renault,Germany,4
2014,Lewis Hamilton,Mercedes,United Kingdom,7
2015,Lewis Hamilton,Mercedes,United Kingdom,7
2016,Nico Rosberg,Mercedes,Germany,1
2017,Lewis Hamilton,Mercedes,United Kingdom,7
2018,Lewis Hamilton,Mercedes,United Kingdom,7
2019,Lewis Hamilton,Mercedes,United Kingdom,7
2020,Lewis Hamilton,Mercedes,United Kingdom,7
2021,Max Verstappen,Red Bull Racing,Belgium,3
2022,Max Verstappen,Red Bull Racing,Belgium,3
2023,Max Verstappen,Red Bull Racing,Belgium,3
